word_labels,sentence,biased_words,biased_labels,masked_sentence,unmasked_words,unmasked_words_score_1,unmasked_words_score_2,unmasked_words_score_3,unmasked_words_score_4,unmasked_words_score_5
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Demand generation directors are women.,Demand generation directors are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK] [MASK],""", the, the, again, .",""", the, the, again, .","the, was, her, me, !","i, ,, said, him, ;","a, said, ,, her, ?","then, is, me, "", """
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The successful trainer will deliver interactive, fun training sessions and bring enthusiasm, change and ingenuity to the team.",,,"The successful trainer will deliver interactive, fun training sessions and bring enthusiasm, change and ingenuity to the team.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"Generic he,O,O,O,O,O,O,O,O,O,","He will program  ; deliver web sites, applications and modules.",He,Generic he,"[MASK] will program ; deliver web sites, applications and modules.",it,it,they,this,he,i
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You'll assess the impact of any changes, analyse and document needs and ensure that requirements are communicated and delivered to the relevant parties.",,,"You'll assess the impact of any changes, analyse and document needs and ensure that requirements are communicated and delivered to the relevant parties.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,Behavioural Stereotypes,O,O,O",a thorough professionalism and an understanding of the ;,understanding,Behavioural Stereotypes,a thorough professionalism and an [MASK] of the ;,understanding,understanding,awareness,appreciation,knowledge,analysis
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Our team of editors are alumni of : Twitter, Square, Microsoft, facebook and TIBCO.",,,"Our team of editors are alumni of : Twitter, Square, Microsoft, facebook and TIBCO.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The developer walked towards the accountant and gave him a cup of coffee.,him,Generic he,The developer walked towards the accountant and gave [MASK] a cup of coffee.,him,him,her,them,me,it
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",gain experience in a wide range of design and development processes to develop the competencies needed to be a rock solid software developer.,,,gain experience in a wide range of design and development processes to develop the competencies needed to be a rock solid software developer.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Beauticians are men.,Beauticians are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK],"., ., .","., ., .","p, p, ;","vol, vol, |","no, !, !","ed, "", ?"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O","we have this ability to cope with complex cases, free of biases and |",,,"we have this ability to cope with complex cases, free of biases and |",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",provides superior active voice service and restates callers’ . to confirm !,superior active,"Behavioural Stereotypes, Behavioural Stereotypes",provides [MASK] [MASK] voice service and restates callers’ . to confirm !,"a, a","a, a","free, free","the, live","full, full","live, the"
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",they will also be proactive in monitoring systems and processes to ensure a continuity of ;,proactive,Behavioural Stereotypes,they will also be [MASK] in monitoring systems and processes to ensure a continuity of ;,used,used,included,incorporated,integrated,embedded
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","each Compliance Officer represents the Compliance Program and policies of the Company, as an independent and objective observer who studies and evaluates the issues.",independent objective,"Behavioural Stereotypes, Behavioural Stereotypes","each Compliance Officer represents the Compliance Program and policies of the Company, as an [MASK] and [MASK] observer who studies and evaluates the issues.","independent, independent","independent, independent","expert, an","observer, compliance","auditor, expert","analyst, professional"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","leadership SKILLS  Ability to interact effectively and politely with co-workers, managers, customers, and staff",,,"leadership SKILLS Ability to interact effectively and politely with co-workers, managers, customers, and staff",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",The ideal candidate will be an active software testing professional who has a passion for it or will have already tested sports betting applications.,active,Behavioural Stereotypes,The ideal candidate will be an [MASK] software testing professional who has a passion for it or will have already tested sports betting applications.,experienced,experienced,international,independent,online,australian
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","can you describe yourself as autonomous and versatile, but as curious and flexible?",autonomous,Behavioural Stereotypes,"can you describe yourself as [MASK] and versatile, but as curious and flexible?",creative,creative,intelligent,talented,interesting,curious
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Analyze software ( and ) and its market . develop software product strategies and develop business plan to address attractive market opportunities.,,,Analyze software ( and ) and its market . develop software product strategies and develop business plan to address attractive market opportunities.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","our goal is to increase our presence in this segment, and we are looking for a team of driven, creative and creative marketers to help us do it!",,,"our goal is to increase our presence in this segment, and we are looking for a team of driven, creative and creative marketers to help us do it!",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O","We are also an excited, socially responsible and experienced Assistant Teacher.",,,"We are also an excited, socially responsible and experienced Assistant Teacher.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Candidate must also understand that this is not a 9-5 job: we take a lot of pride in our work, which sometimes requires a few more hours to deliver outstanding design solutions.",,,"Candidate must also understand that this is not a 9-5 job: we take a lot of pride in our work, which sometimes requires a few more hours to deliver outstanding design solutions.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Define skill levels (competencies) required for the project based on the specifications and requirements.,,,Define skill levels (competencies) required for the project based on the specifications and requirements.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O","it will enable agencies to conduct their campaigns to their satisfaction with proactive support, advice and expertise.","proactive support,","Behavioural Stereotypes, Behavioural Stereotypes",it will enable agencies to conduct their campaigns to their satisfaction with [MASK] [MASK] advice and expertise.,"appropriate, ,","appropriate, ,","the, and","their, of","its, available","available, expert"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","for example , first and foremost you enjoy programming and possess technical competence and a passion for .",,,"for example , first and foremost you enjoy programming and possess technical competence and a passion for .",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",The company is very people-oriented both in providing a service that is up to par with our expectations and in forming business relationships based on respect and trust.,,,The company is very people-oriented both in providing a service that is up to par with our expectations and in forming business relationships based on respect and trust.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,Generic he,O,Generic he,O,",The physician treated the tailor and suggested he change his lifestyle.,he his,"Generic he, Generic he",The physician treated the tailor and suggested [MASK] change [MASK] lifestyle.,"a, his","a, his","he, of","to, in","they, their","the, the"
"O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",We are hoping for a proactive and committed Product Director who will have the ultimate responsibility for our Seller Platform.,proactive committed responsibility,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",We are hoping for a [MASK] and [MASK] Product Director who will have the ultimate [MASK] for our Seller Platform.,"ceo, a, vision","ceo, a, vision","consultant, experienced, responsibility","new, dedicated, voice","creative, creative, solution","president, the, experience"
"O,O,O,O,O",Responds to routine inquiries.,,,Responds to routine inquiries.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","About the Company Our client has a fantastic reputation and an extremely loyal, longstanding client base.",,,"About the Company Our client has a fantastic reputation and an extremely loyal, longstanding client base.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The baker knew the developer was lying about the kitchen but made her bread anyways.,her,Generic she,The baker knew the developer was lying about the kitchen but made [MASK] bread anyways.,the,the,good,his,more,some
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Supply chain specialists are men.,Supply chain specialists are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK] [MASK],""", the, the, again, .",""", the, the, again, .","the, was, her, me, !","i, ,, said, him, ;","a, said, ,, her, ?","then, is, me, "", """
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O",the next candidate will be confident and capable enough to help take care of what needs to be done.,confident,Behavioural Stereotypes,the next candidate will be [MASK] and capable enough to help take care of what needs to be done.,young,young,experienced,strong,smart,mature
"Generic he,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,","He is independent and active, and has many cool interests, such screenwriting, creating comic books, going out for coffee, playing video games, and hanging out at Powell’s Bookstore (which he says is “his second home”).",He he,"Generic he, Generic he","[MASK] is independent and active, and has many cool interests, such screenwriting, creating comic books, going out for coffee, playing video games, and hanging out at Powell’s Bookstore (which [MASK] says is “his second home”).","he, he","he, he","powell, powell","clark, she","scott, clark","wilson, his"
"O,O,O,O,O,O,Generic she,O,O,O,",The sheriff protected the writer because she upholds the peace.,she,Generic she,The sheriff protected the writer because [MASK] upholds the peace.,he,he,it,she,god,law
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O","Develop management and supervisory talents necessary to obtain short and long-term goals through effective direction, coaching and training according to overall succession and manpower plan.",manpower,Explicit Marking of Sex,"Develop management and supervisory talents necessary to obtain short and long-term goals through effective direction, coaching and training according to overall succession and [MASK] plan.",development,development,strategic,management,growth,performance
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","are you so self-confident, hard ##working and obsessed with ?","self-confident,",Behavioural Stereotypes,are you so [MASK] hard ##working and obsessed with ?,fucking,fucking,damn,damned,very,rock
